,ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses
294,2020,2,1103026,1.1.03.026,Pimentão,0.0139,3.45,1.16,
295,2020,12,1103026,1.1.03.026,Pimentão,0.0182,-7.0,24.03,24.03
296,2020,4,1103026,1.1.03.026,Pimentão,0.0143,19.92,20.93,
297,2020,9,1103026,1.1.03.026,Pimentão,0.0188,-15.45,13.0,
298,2020,1,1103026,1.1.03.026,Pimentão,0.0143,-2.22,-2.22,
299,2020,10,1103026,1.1.03.026,Pimentão,0.0157,8.11,22.16,
300,2020,5,1103028,1.1.03.028,Tomate,0.3148,-7.22,45.47,
301,2020,8,1103028,1.1.03.028,Tomate,0.205,10.99,13.91,
302,2020,7,1103028,1.1.03.028,Tomate,0.2468,-16.54,2.63,
303,2020,1,1103028,1.1.03.028,Tomate,0.2015,14.24,14.24,
304,2020,3,1103028,1.1.03.028,Tomate,0.2829,15.26,62.45,
305,2020,11,1103028,1.1.03.028,Tomate,0.2931,17.54,76.13,
306,2020,10,1103028,1.1.03.028,Tomate,0.2504,18.09,49.85,
307,2020,6,1103028,1.1.03.028,Tomate,0.2928,-15.47,22.97,
308,2020,9,1103028,1.1.03.028,Tomate,0.2267,11.41,26.9,
309,2020,12,1103028,1.1.03.028,Tomate,0.3411,-11.94,55.1,55.1
310,2020,4,1103028,1.1.03.028,Tomate,0.3254,-3.49,56.78,
311,2020,2,1103028,1.1.03.028,Tomate,0.2298,23.38,40.95,
312,2020,7,1103043,1.1.03.043,Cebola,0.2519,-6.77,87.79,
313,2020,5,1103043,1.1.03.043,Cebola,0.1924,31.39,102.07,
314,2020,4,1103043,1.1.03.043,Cebola,0.1404,36.85,53.79,
315,2020,3,1103043,1.1.03.043,Cebola,0.1154,21.86,12.38,
316,2020,9,1103043,1.1.03.043,Cebola,0.1911,-12.82,34.24,
317,2020,12,1103043,1.1.03.043,Cebola,0.1404,-0.02,16.14,16.14
318,2020,1,1103043,1.1.03.043,Cebola,0.1257,-6.57,-6.57,
319,2020,11,1103043,1.1.03.043,Cebola,0.1442,-1.7,16.16,
320,2020,6,1103043,1.1.03.043,Cebola,0.2535,-0.32,101.41,
321,2020,10,1103043,1.1.03.043,Cebola,0.1651,-11.97,18.18,
